Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Pheochromocytoma,High blood pressure,Headache,Heavy sweating,Rapid heartbeat,Tremors,Paleness in the face,Shortness of breath,Panic attack-type symptoms,,,,,,,,,
Pheochromocytoma,Anxiety or sense of doom,Constipation,Weight loss,Rapid heartbeat,Tremors,Paleness in the face,Shortness of breath,Panic attack-type symptoms,,,,,,,,,
Pheochromocytoma,Physical exertion,Anxiety or stress,Changes in body position,Labor and delivery,Surgery and anesthesia,Paleness in the face,Shortness of breath,Panic attack-type symptoms,,,,,,,,,
Pheochromocytoma,Some cheeses,Some beers and wines,Chocolate,Dried or smoked meats,Surgery and anesthesia,Paleness in the face,Shortness of breath,Panic attack-type symptoms,,,,,,,,,
Pheochromocytoma,"Monoamine oxidase inhibitors (MAOIs), such as phenelzine (Nardil), tranylcypromine (Parnate) and isocarboxazid (Marplan)","Stimulants, such as amphetamines or cocaine",Chocolate,Dried or smoked meats,Surgery and anesthesia,Paleness in the face,Shortness of breath,Panic attack-type symptoms,,,,,,,,,
Pheochromocytoma,Difficulty controlling high blood pressure with current treatment,Episodic worsening of high blood pressure,A family history of pheochromocytoma,"A family history of a related genetic disorder: multiple endocrine neoplasia, type 2 (MEN 2); von Hippel-Lindau disease; familial paraganglioma or neurofibromatosis 1 (NF1)",Surgery and anesthesia,Paleness in the face,Shortness of breath,Panic attack-type symptoms,,,,,,,,,
Ankylosing spondylitis,The joint between the base of your spine and your pelvis,The vertebrae in your lower back,"The places where your tendons and ligaments attach to bones, mainly in your spine, but sometimes along the back of your heel",The cartilage between your breastbone and ribs,Your hip and shoulder joints,,,,,,,,,,,,
Wheat allergy,"Swelling, itching or irritation of the mouth or throat","Hives, itchy rash or swelling of the skin",Nasal congestion,Headache,Difficulty breathing,"Cramps, nausea or vomiting",Diarrhea,Anaphylaxis,,,,,,,,,
Wheat allergy,Swelling or tightness of the throat,Chest pain or tightness,Severe difficulty breathing,Trouble swallowing,"Pale, blue skin color",Dizziness or fainting,Diarrhea,Anaphylaxis,,,,,,,,,
Antiphospholipid syndrome,"Blood clots in your legs (DVT). Signs of a DVT include pain, swelling and redness. These clots can travel to your lungs (pulmonary embolism).",Repeated miscarriages or stillbirths. Other complications of pregnancy include dangerously high blood pressure (preeclampsia) and premature delivery.,Stroke. A stroke can occur in a young person who has antiphospholipid syndrome but no known risk factors for cardiovascular diseases.,"Transient ischemic attack (TIA). Similar to a stroke, a TIA usually lasts only a few minutes and causes no permanent damage.","Rash. Some people develop a red rash with a lacy, net-like pattern.",,,,,,,,,,,,
Antiphospholipid syndrome,"Neurological symptoms. Chronic headaches, including migraines; dementia and seizures are possible when a blood clot blocks blood flow to parts of your brain.",Cardiovascular disease. Antiphospholipid syndrome can damage heart valves.,"Bleeding. Some people have a decrease in blood cells needed for clotting. This can cause episodes of bleeding, particularly from your nose and gums. You can also bleed into your skin, which will appear as patches of small red spots.","Transient ischemic attack (TIA). Similar to a stroke, a TIA usually lasts only a few minutes and causes no permanent damage.","Rash. Some people develop a red rash with a lacy, net-like pattern.",,,,,,,,,,,,
Antiphospholipid syndrome,"Stroke. A clot in your brain can cause sudden numbness, weakness or paralysis of your face, arm or leg. You may have difficulty speaking or understanding speech, visual disturbances and a severe headache.","Pulmonary embolism. If a clot lodges in your lung, you may experience sudden shortness of breath, chest pain and coughing up blood-streaked mucus.","Deep vein thrombosis (DVT). Signs and symptoms of DVTs include swelling, redness or pain in a leg or arm.","Transient ischemic attack (TIA). Similar to a stroke, a TIA usually lasts only a few minutes and causes no permanent damage.","Rash. Some people develop a red rash with a lacy, net-like pattern.",,,,,,,,,,,,
